time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.088145,0.302828
0.929992,0.088578,0.302950
0.934992,0.089229,0.303134
0.939991,0.089665,0.303257
0.944991,0.090315,0.303443
0.949991,0.090748,0.303568
0.954991,0.091398,0.303757
0.959991,0.091838,0.303883
0.964991,0.092491,0.304074
0.969991,0.092925,0.304202
0.974991,0.093578,0.304394
0.979991,0.094010,0.304524
0.984991,0.094662,0.304719
0.989991,0.095106,0.304850
0.994991,0.095761,0.305047
0.999991,0.096179,0.305179
1.004991,0.107386,0.302551
1.009991,0.107861,0.302671
1.014991,0.108579,0.302851
1.019992,0.109068,0.302972
1.024992,0.109785,0.303154
1.029992,0.110264,0.303276
1.034992,0.110980,0.303460
1.039993,0.111461,0.303584
1.044993,0.112176,0.303770
1.049993,0.112654,0.303895
1.054993,0.113369,0.304083
1.059994,0.113846,0.304210
1.064994,0.114563,0.304400
1.069994,0.115044,0.304528
1.074994,0.115761,0.304720
1.079994,0.116240,0.304850
1.084995,0.116959,0.305044
1.089995,0.117439,0.305175
1.094995,0.118159,0.305372
1.099995,0.118639,0.305504
1.104996,0.124433,0.302870
1.109996,0.124789,0.302990
1.114996,0.125356,0.303170
1.119996,0.125738,0.303291
1.124997,0.126306,0.303473
1.129997,0.126684,0.303596
1.134997,0.127253,0.303780
1.139997,0.127634,0.303904
1.144997,0.128202,0.304090
1.149998,0.128578,0.304215
1.154998,0.129144,0.304403
1.159998,0.129516,0.304529
1.164998,0.130080,0.304720
1.169999,0.130451,0.304847
1.174999,0.131014,0.305039
1.179999,0.131385,0.305168
1.184999,0.131946,0.305363
1.190000,0.132282,0.305493
1.195000,0.132837,0.305689
1.200000,0.133206,0.305821
1.205000,0.124231,0.303183
1.210001,0.124637,0.303303
1.215001,0.125190,0.303483
1.220001,0.125553,0.303604
1.225001,0.126105,0.303787
1.230001,0.126484,0.303909
1.235002,0.127033,0.304093
1.240002,0.127391,0.304217
1.245002,0.127949,0.304403
1.250002,0.128322,0.304528
1.255003,0.128883,0.304716
1.260003,0.129267,0.304842
1.265003,0.129833,0.305032
1.270003,0.130195,0.305159
1.275004,0.130760,0.305351
1.280004,0.131129,0.305480
1.285004,0.131695,0.305674
1.290004,0.132070,0.305804
1.295004,0.132638,0.306000
1.300005,0.133015,0.306131
1.305005,0.109378,0.303490
1.310005,0.109505,0.303610
1.315005,0.109704,0.303791
1.320006,0.109837,0.303911
1.325006,0.110036,0.304094
1.330006,0.110171,0.304216
1.335006,0.110371,0.304400
1.340007,0.110507,0.304524
1.345007,0.110709,0.304710
1.350007,0.110844,0.304834
1.355007,0.111048,0.305022
1.360008,0.111182,0.305148
1.365008,0.111387,0.305338
1.370008,0.111519,0.305465
1.375008,0.111725,0.305657
1.380008,0.111858,0.305785
1.385009,0.112065,0.305979
1.390009,0.112179,0.306108
1.395009,0.112382,0.306304
1.400009,0.112506,0.306435
1.405010,0.109222,0.303791
1.410010,0.109374,0.303911
1.415010,0.109580,0.304091
1.420010,0.109704,0.304212
1.425011,0.109913,0.304394
1.430011,0.110068,0.304516
1.435011,0.110273,0.304700
1.440011,0.110411,0.304824
1.445011,0.110615,0.305010
1.450012,0.110751,0.305134
1.455012,0.110955,0.305322
1.460012,0.111093,0.305447
1.465012,0.111298,0.305637
1.470013,0.111453,0.305764
1.475013,0.111664,0.305955
1.480013,0.111815,0.306084
1.485013,0.112030,0.306277
1.490014,0.112162,0.306406
1.495014,0.112376,0.306601
1.500014,0.112508,0.306732
1.505014,0.140287,0.304086
1.510015,0.140587,0.304205
1.515015,0.141033,0.304386
1.520015,0.141311,0.304506
1.525015,0.141763,0.304689
1.530015,0.142073,0.304811
1.535016,0.142523,0.304994
1.540016,0.142827,0.305117
1.545016,0.143276,0.305303
1.550016,0.143575,0.305427
1.555017,0.144024,0.305615
1.560017,0.144338,0.305740
1.565017,0.144793,0.305930
1.570017,0.145084,0.306056
1.575018,0.145537,0.306247
1.580018,0.145851,0.306375
1.585018,0.146306,0.306568
1.590018,0.146616,0.306697
1.595019,0.147073,0.306892
1.600019,0.147358,0.307023
1.605019,0.172916,0.304374
1.610019,0.173498,0.304494
1.615019,0.174367,0.304674
1.620020,0.174947,0.304795
1.625020,0.175819,0.304976
1.630020,0.176400,0.305098
1.635020,0.177274,0.305282
1.640021,0.177857,0.305405
1.645021,0.178734,0.305590
1.650021,0.179317,0.305714
1.655021,0.180197,0.305902
1.660022,0.180778,0.306027
1.665022,0.181658,0.306216
1.670022,0.182245,0.306342
1.675022,0.183126,0.306533
1.680022,0.183723,0.306661
1.685023,0.184609,0.306853
1.690023,0.185193,0.306982
1.695023,0.186078,0.307177
1.700023,0.186671,0.307307
1.705024,0.173814,0.304657
1.710024,0.174297,0.304776
1.715024,0.175031,0.304956
1.720024,0.175522,0.305076
1.725025,0.176255,0.305258
1.730025,0.176750,0.305380
1.735025,0.177481,0.305563
1.740025,0.177967,0.305686
1.745026,0.178699,0.305871
1.750026,0.179186,0.305995
1.755026,0.179918,0.306182
1.760026,0.180402,0.306307
1.765026,0.181132,0.306496
1.770027,0.181623,0.306622
1.775027,0.182353,0.306812
1.780027,0.182844,0.306940
1.785027,0.183574,0.307132
1.790028,0.184081,0.307261
